boletin,fecha,materia,articulo,sesion,tramite,quorum,resultado,SERGIO AGUIL?,JENNY ALVAREZ,PEDRO PABLO ALVAREZ-SALAMANCA,OSVALDO ANDRADE,CLAUDIO ARRIAGADA,PEPE AUTH,RAM?N BARROS,GERM?N BECKER,JAIME BELLOLIO,BERNARDO BERGER,GABRIEL BORIC,PEDRO BROWNE,CRISTI?N CAMPOS,KAROL CARIOLA,LAUTARO CARMONA,LORETO CARVAJAL,JUAN LUIS CASTRO,GUILLERMO CERONI,FUAD CHAHIN,MARCELO CH?VEZ,DANIELLA CICARDINI,JUAN ANTONIO COLOMA,ALDO CORNEJO,FELIPE DE MUSSY,ROJO EDWARDS,SERGIO ESPEJO,MARCOS ESPINOSA,FIDEL ESPINOZA,DANIEL FARCAS,RAM?N FAR?AS,MAYA FERN?NDEZ,IV?N FLORES,IV?N FUENTES,GONZALO FUENZALIDA,SERGIO GAHONA,REN? MANUEL GARC?A,CRISTINA GIRARDI,JOAQU?N GODOY,RODRIGO GONZ?LEZ,HUGO GUTI?RREZ,ROMILIO GUTI?RREZ,GUSTAVO HASB?N,JAVIER HERN?NDEZ,MARCELA HERNANDO,MAR?A JOS? HOFFMANN,MIGUEL ?NGEL ALVARADO,GIORGIO JACKSON,ENRIQUE JARAMILLO,CARLOS ABEL JARPA,TUCAPEL JIM?NEZ,JOS? ANTONIO KAST,FELIPE KAST,ISSA KORT,JOAQU?N LAV?N,LUIS LEMUS,ROBERTO LE?N,FELIPE LETELIER,PABLO LORENZINI,JAVIER MACAYA,ROSAURO MART?NEZ,PATRICIO MELERO,DANIEL MELO,FERNANDO MEZA,VLADO MIROSEVIC,ANDREA MOLINA,CRISTI?N MONCKEBERG,NICOL?S MONCKEBERG,MANUEL MONSALVE,CELSO MORALES,JUAN ENRIQUE MORANO,CLAUDIA NOGUEIRA,IV?N NORAMBUENA,DANIEL N??EZ,MARCO ANTONIO N??EZ,PAULINA N??EZ,SERGIO OJEDA,JOS? MIGUEL ORTIZ,CLEMIRA PACHECO,DENISE PASCAL,DIEGO PAULSEN,JOS? P?REZ,LEOPOLDO P?REZ,JAIME PILOWSKY,ROBERTO POBLETE,YASNA PROVOSTE,JORGE RATHGEB,RICARDO RINC?N,GASPAR RIVAS,ALBERTO ROBLES,LUIS ROCAFULL,KARLA RUBILAR,JORGE SABAG,MARCELA SABAT,REN? SAFFIRIO,RA?L SALD?VAR,DAVID SANDOVAL,ALEJANDRO SANTANA,MARCELO SCHILLING,ALEJANDRA SEP?LVEDA,GABRIEL SILBER,ERNESTO SILVA,LEONARDO SOTO,ARTURO SQUELLA,JORGE TARUD,GUILLERMO TEILLIER,V?CTOR TORRES,RENZO TRISOTTI,JOAQU?N TUMA,MARISOL TURRES,JORGE ULLOA,CHRISTIAN UR?ZAR,IGNACIO URRUTIA,OSVALDO URRUTIA,CAMILA VALLEJO,PATRICIO VALLESP?N,ENRIQUE VAN RYSSELBERGHE,MARIO VENEGAS,GERM?N VERDUGO,MAT?AS WALKER,FELIPE WARD
11329-04,20 de dic de 2017 13:50 hrs.,Sobre Universidades del Estado,7 con las modificaciones propuestas por la Comisi?n de Hacienda.,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,-10,-10,10,10,-10,10,10,10,10,10,-10,10,10,-10,-10,-10,0,10,0,-10,-10,0,0,10,0,10,-10,10,10,-5,0,-10,-10,10,10,0,-10,10,-10,-10,10,10,10,-10,0,-10,-10,10,-10,-10,0,0,10,10,-5,10,-5,-5,10,0,10,-10,-10,0,10,10,10,0,10,-10,10,10,-10,10,10,-10,10,-10,-10,10,-10,10,-5,-10,-10,10,-10,-10,-10,-10,10,10,10,-10,-10,10,10,10,-10,-10,10,-10,10,-10,-10,-10,10,10,10,10,-5,10,10,0,-10,10,10,10,10,10
11329-04,20 de dic de 2017 13:50 hrs.,Sobre Universidades del Estado,1 con la modificaci?n propuesta por la Comisi?n de Hacienda.,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,-10,-10,10,-10,-10,10,10,10,10,10,-10,10,10,-10,-10,-10,0,10,0,-10,-10,0,0,10,0,10,-10,-10,10,-10,0,-10,-10,10,10,0,-10,10,-10,-10,10,10,10,-10,0,-10,-10,10,-10,-10,0,0,10,10,-5,10,-5,10,10,0,10,-10,-10,0,10,10,10,0,10,10,10,10,-10,10,10,-10,10,-10,-10,10,-10,10,-5,-10,-10,10,-10,-10,-10,-10,10,10,10,-10,-10,10,10,10,-10,-10,10,-10,10,-10,-10,-10,10,10,10,10,-5,10,10,0,-10,10,10,10,10,10
11329-04,20 de dic de 2017 13:48 hrs.,Sobre Universidades del Estado,"2, 3, 13, 17, 26, 37 y 49.",105,PRIMER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:47 hrs.,Sobre Universidades del Estado,art?culo 57 que pasar?a a ser 58,105,PRIMER TR?MITE / PRIMER INFORME,QUORUM CALIFICADO,APROBADO,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11329-04,20 de dic de 2017 13:47 hrs.,Sobre Universidades del Estado,"con la salvedad de las normas que requieren quorum especial para su aprobaci?n, las que se votar?n a continuaci?n.",105,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,0,0,10,-10,10,10,0,10,10,0,10,0,10,10,0,0,0,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,0,10,-10,10,10,10,0,0,0,10,10,10,0,10,0,0,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10
11200-06,19 de dic de 2017 13:29 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,,104,COMISI?N MIXTA / PRIMER INFORME,3/5,APROBADO,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10
9689-21,13 de dic de 2017 13:20 hrs.,"Crea el Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Peque?a Escala, INDESPA.","modificaciones introducidas por el Senado, con la salvedad de las normas que requieren quorum especial para su aprobaci?n.",102,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,0,10,10,10,10,10,0,10,10,0,10,0,10,10,0,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10
11200-06,12 de dic de 2017 13:42 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,art?culo primero transitorio.,100,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,LEY ORGANICA CONSTITUCIONAL,RECHAZADO,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-10,0,-10,-10,-10,-10,-10,0,-10,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,10,0,-10,-10,0,-10,-10,-10,-10,0,0,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,-10,-10
11200-06,12 de dic de 2017 13:41 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,nuevas letras b) y c) incorporadas por el Senado en el art?culo 23 ter contenido en el numeral 19) del art?culo 1.,100,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,-10,0,10,10,10,10,10,0,10,0,10,-10,10,0,10,10,10,10,10,10,10,10,0,-10,10,0,10,10,10,10,0,0,-5,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10
11200-06,12 de dic de 2017 13:39 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,letra e) del art?culo 23 bis contenido en el numeral 19) del art?culo 1.,100,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,REFORMA CONSTITUCIONAL 3/5,APROBADO,10,10,10,10,10,-10,-10,-10,10,-10,-10,-10,10,10,10,10,10,10,-10,-10,-10,10,10,10,0,-10,0,-10,10,10,10,10,0,10,0,10,10,-10,10,10,10,10,10,10,-5,10,-10,0,-10,10,0,-5,10,10,10,0,0,-10,10,0,10,-5,10,-10,10,10,10,10,10,10,0,10,10,-10,-10,10,10,10,10,10,10,-10,-10,10,10,-10,10,-10,-10,10,-10,-10,10,10,-10,10,-10,10,-10,10,10,-10,10,10,10,10,10,10,10,10,0,10,10,10,-10,10,-10,0,10,10
11200-06,12 de dic de 2017 13:37 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,"modificaciones introducidas por el Senado en los n?meros 18, 19, con la salvedad de la letra e) del art?culo 23 bis y de las nuevas letras b) y c) incorporadas por el Senado en el art?culo 23 ter; 20, 22, 25, 26, 27, 28, 31, 48 que pasar?a a ser 44, nuevo n?mero 49 y nuevos n?meros 54, 55 y 56, todos del art?culo 1?; las enmiendas incorporadas a los art?culos 2? y 3?; nuevo art?culo 9 incorporado por el Senado; la letra e) del n?mero 1 del art?culo 9 que pasar?a a ser 10, que requieren para su aprobaci?n del voto favorable de 68 se?oras y se?ores diputados.",100,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,10
11200-06,12 de dic de 2017 13:36 hrs.,Regula la elecci?n de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,"modificaciones introducidas por el Senado, con la salvedad de las normas que requieren quorum especial para su aprobaci?n, las que se votar?n a continuaci?n y de las solicitudes de votaci?n separada.",100,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,10
11012-13,07 de dic de 2017 11:58 hrs.,"Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempe?an en empresas que prestan servicios externalizados a las municipalidades, en recolecci?n, transporte o disposici?n final de residuos s?lidos domiciliarios",,99,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,0,10,0,10,10,10,0,0,10,10,0,10,0,10,0,10,10,10,10,10,0,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,10,0,10,0,10,10,0,10,0,0,10,0,0,10,10,0,10,0,0,0,10,0,0,10,10,0,0,0,10,10,0,0,10,10,10,0,0,10,10,10,10,10,10,0,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,10,10,10,0,10,10,10,10,10
6191-19,05 de dic de 2017 13:30 hrs.,"Modifica la ley N? 19.132, de Televisi?n Nacional de Chile.",nuevo art?culo quinto transitorio incorporado por el Senado.,96,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,-10,10,10,10,-5,-10,-5,-10,0,-10,10,0,10,10,10,10,-5,-5,0,-10,-5,-10,-5,0,10,10,10,10,10,0,-5,-10,0,-5,-5,0,10,0,0,-5,-5,0,-10,10,10,0,10,10,0,-5,0,0,10,10,10,-5,-5,0,-5,10,0,0,-5,0,0,10,-10,-5,-5,0,10,10,0,10,10,0,10,-5,10,-10,-5,10,10,-10,0,-10,10,10,0,10,-10,-10,10,-5,10,10,-10,10,-5,10,-5,10,10,10,-5,10,-5,-5,0,-5,-5,10,10,-5,10,-5,10,-5
